"","stationcode","DS_Tim","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","DS_Dur_WS","DS_Mag_50","DS_Mag_90","Q99","FA_Dur","FA_Mag","FA_Tim"
"59","404BA1144",-53,-57,0.4087,-0.77,-2,-6,-2.07,-0.1241,-10,-62,-0.002,0.3755,0.0791,NA,NA,NA
"60","404CE0316",-88,-50,644.62095,0,43.5,93.5,-0.07885,-61.0971,-56,-50.5,0.66075,-0.39,974.34975,-1.5,832.4032,-35
"61","404S00808",-50,-82,14.3748,-0.1993,23,50,-2.76,-0.6989,-77,-33,0,-0.06345,26.4641,NA,NA,NA
"62","404S01128",-52,-80,2.2892,-0.6276,-2,25,-2.0457,-0.7,-10,-94,0,0.2117,12.3471,NA,NA,NA
"63","404S02920",-3,-16,-1.921,-0.46975,25.5,36.5,-2.2489,-0.1877,-38,-13,0,0.369,0.9987,NA,NA,NA
"64","404S03048",-1,-57,0.2047,-0.6394,-1,13,-2.07,0.2,-33,-75,0,0.2275,0.3188,NA,NA,NA
"65","404S06456",-53,-74,0.3828,-0.3474,-2,-6,-0.027,-0.693,-36,-83,0,0.4033,1.5087,NA,NA,NA
"66","404S08040",-0.5,-21.5,2.43995,-0.2345,22,33.5,-2.04925,0.09475,-17.5,-15,0,-0.34,13.90165,NA,NA,NA
"67","404S08616",-43,-52,15.1368,-0.016,-15,21,-0.37,0.0075,-10,16,0.06,-0.4,16.5586,NA,NA,NA
"68","404S08846",-8,-60,-3.941,-0.2762,-2,28,-1.955,-0.6707,-33,-76,0,0.3643,1.6431,NA,NA,NA
"69","404S11880",1.5,-60,5.31135,-0.0341,-2,33,-1.84465,-0.6371,-13,-29,0,0.3393,8.6267,NA,NA,NA
"70","404S13416",-72,-26,2.4229,-0.5902,9,29,-2.0465,-0.7,-12,-77,0,0.3469,14.0055,NA,NA,NA
"71","404S14952",-66,-21,0.2674,-0.4061,-8,24,-1.7744,0.186,-38,-81,0,0.2737,4.6259,NA,NA,NA
"72","404S16516",-33,-31,18.354,0,32,45,3.5572,3.4825,-20,-21,0.0465,0.4373,33.4522,7,15.2758,-19.5
"73","404S17266",-43,-21,1.514,-0.6295,-2,0,-2.046,-0.7,-10,-81,0,0.2125,11.8982,NA,NA,NA
"74","404S17664",-64,-74,0.5821,-0.5675,-2,30,-1.1073,-0.5978,-43,-88,0,0.2022,3.3964,NA,NA,NA
"75","404S22464",-2.5,-12.5,0.5125,-0.51935,14.5,24,-0.9138,0.16565,-53,-91,0,0.2254,9.5346,NA,NA,NA
"76","404S25668",-71,-18,0.6388,-0.4588,-1,23,-2.028,-0.7,-47,-81,0,0.3526,10.1587,NA,NA,NA
"77","404S26868",-67,-76,1.4685,-0.59155,0,27,0.02,0.02,-56,-23,5e-04,0.2431,9.68,NA,NA,NA
"78","404S28068",-61,-19,0.2699,-0.3978,-8,28,-2.35,-0.1541,-7,-19,0,0.194,4.1204,NA,NA,NA
"79","404S28270",-4,-34.5,2.9561,0,35.5,76.5,0,-1.2917,-30.5,-59.5,0.0155,0.0386,27.6262,7,14.05265,-19
"80","404S32468",-6.5,-29,28.28915,-0.40765,16,42.5,-2.035,-0.6734,-33.5,-45,0,-0.1327,58.4725,NA,NA,NA
"81","404S34120",-7.5,-50,2.29055,0,39.5,79.5,0,-0.11225,-37,-30,0.0035,0.0249,5.1779,-6,-1.8577,-28
"82","404S35270",-71,-77,0.41335,-0.39305,14.5,25.5,-0.92,-0.01505,-13,-91,0,0.2123,8.0125,NA,NA,NA
"83","404S45622",-53,-56,0.3639,-0.3426,-1,-6,-3.4373,-0.4867,-4,-104,0,0.3829,1.5595,NA,NA,NA
"84","405CE0280",0,0,0,0,0,0,-0.0013,-0.0013,0,0,-0.00085,-9e-04,-5e-04,NA,NA,NA
"85","405PS0030",0,0,-0.2049,0,0,0,-0.0195,-0.0236,0,0,-0.0045,-0.0061,0.6749,NA,NA,NA
"86","405WE0777",2,0.5,0.04375,0.0112,0,2.5,0.00875,0,0,-6,0.01,0,0.0378,-1,0.1768,0
"87","407CE0092",-16,-38,0.1098,-0.2602,64,4,-0.1,0,-32,-46,-0.202,-0.1,0.0529,NA,NA,NA
"88","407CE0668",-16,-38,0.1098,-0.2602,64,4,-0.1,0,-32,-46,-0.202,-0.1,0.0529,NA,NA,NA
"89","408BA0660",-137,-79,100.0963,-1e-04,142,-10,-22.9055,-3.08475,-157,173.5,-0.0895,-0.1401,226.0838,NA,NA,NA
"90","408BA0836",-117,-52.5,168.658,0,152,-29,-14.0646,-6.7133,28,168,-0.3456,-0.2164,239.198,NA,NA,NA
"91","408BA0916",-137.5,-57.5,118.4062,0,142,-27,-14.2659,-6.06575,3,172.5,-0.2416,-0.2881,181.37145,NA,NA,NA
"92","408CAL012",-190,0,45.6026,-0.0337,-1,19,-0.0417,0.2187,-9,-1,-0.1675,-0.2361,64.8292,NA,NA,NA
"93","408PS0032",-127,-80,328.6702,-1e-04,148.5,-11.5,-41.96115,-4.93565,23,166,-0.5856,-0.3164,432.1111,NA,NA,NA
"94","408WE0547",-90,-212,-42.71815,0,116,125,-0.001,0,-82,NA,NA,NA,62.5242,NA,NA,NA
"95","408WE0654",-160,-99.5,28.3624,0,0,13,0,0.3799,-21.5,NA,NA,NA,26.5144,NA,NA,NA
"96","408WE1039",-39,-40,0,0,-1,-1,0,1.4887,0,38,0.0996,0,0,1,0.04375,2
"97","410CE0284",29.5,-3,47.35265,-0.0618,29,62,-0.2114,-0.4382,-84,-95,-0.2633,-0.3809,63.9009,NA,NA,NA
"98","412CE0104",30.5,-177,1041.7558,-0.0262,-1,15,-10.4911,-49.0606,-94,-7,-8.7052,-15.3851,1368.2699,0,-2271.4617,-9
"99","412CE0616",-149,-54,525.2162,-0.01825,0,41,-5.1455,-20.8965,-7,-148,-5.8708,-10.4605,1188.5554,0,3555.4137,-1
"100","412CE0732",-170,-20,791.77265,-0.0147,14.5,12,-6.6289,-18.1355,-88,-243,-7.4427,-8.7561,918.2787,0,-938.4751,-26
"101","412WE0552",-2,-43,0.7125,0.0084,0,-10,0.12,0,0,-34,0.01,0,0.06845,-6,0.331,0
"102","412WE0563",-8,-10,0,0,0,-2,0,0,0,-1,0,0,0,NA,NA,NA
